fecha cer,ARTX213=BA,ARTC213=BA,ART2X13=BA,ART2X23=BA,ARTX223=BA,ARTX233=BA,ARTX243=BA,ARTX263=BA,año,mes,dia,fecha cer,cer index,CLOSE,cer año,cer mes,cer dia
2020-10-02,120.0,379.9,113.75,106.0,113.8,109.0,103.0,84.98,2020,10,2,2020-10-02,2020-09-22,23.0315,2020,9,22
2020-10-05,119.8,380.0,113.25,105.65,113.5,108.45,103.05,84.6,2020,10,5,2020-10-05,2020-09-23,23.0519,2020,9,23
2020-10-06,119.15,377.75,113.25,105.4,112.75,107.65,102.3,83.5,2020,10,6,2020-10-06,2020-09-24,23.0724,2020,9,24
2020-10-07,118.8,376.75,113.0,104.5,112.0,106.8,101.15,82.5,2020,10,7,2020-10-07,2020-09-25,23.0929,2020,9,25
2020-10-08,119.15,377.35,113.45,104.5,112.5,106.5,100.35,81.95,2020,10,8,2020-10-08,2020-09-28,23.1545,2020,9,28
2020-10-09,118.7,376.75,113.35,100.85,111.0,104.45,98.0,79.85,2020,10,9,2020-10-09,2020-09-29,23.1751,2020,9,29
2020-10-13,118.6,376.0,113.15,98.0,110.5,102.3,95.95,77.61,2020,10,13,2020-10-13,2020-10-01,23.2163,2020,10,1
2020-10-14,119.25,376.0,113.25,103.0,111.5,105.9,96.3,78.9,2020,10,14,2020-10-14,2020-10-02,23.2369,2020,10,2
2020-10-15,117.5,372.5,112.0,100.4,109.1,102.0,92.1,74.75,2020,10,15,2020-10-15,2020-10-05,23.2989,2020,10,5
2020-10-16,118.6,375.25,112.5,101.0,110.5,102.5,95.5,77.0,2020,10,16,2020-10-16,2020-10-06,23.3196,2020,10,6
2020-10-19,118.5,375.0,112.4,101.5,109.9,102.0,95.75,77.6,2020,10,19,2020-10-19,2020-10-07,23.3403,2020,10,7
2020-10-20,118.9,377.6,112.8,100.7,110.1,102.5,95.9,78.0,2020,10,20,2020-10-20,2020-10-08,23.3611,2020,10,8
2020-10-21,118.85,376.85,112.75,100.25,109.7,102.0,95.7,76.0,2020,10,21,2020-10-21,2020-10-09,23.3818,2020,10,9
2020-10-22,118.9,376.4,112.75,100.5,109.35,100.35,93.0,74.1,2020,10,22,2020-10-22,2020-10-12,23.4442,2020,10,12
2020-10-23,119.1,377.3,113.5,99.5,109.6,100.25,93.0,74.15,2020,10,23,2020-10-23,2020-10-13,23.465,2020,10,13
2020-10-26,118.2,374.5,113.2,95.5,107.95,96.25,89.5,70.1,2020,10,26,2020-10-26,2020-10-14,23.4859,2020,10,14
2020-10-27,118.0,372.25,112.75,97.0,108.0,96.2,88.2,69.0,2020,10,27,2020-10-27,2020-10-15,23.5067,2020,10,15
2020-10-28,118.55,373.25,113.25,99.0,108.9,97.75,89.5,68.1,2020,10,28,2020-10-28,2020-10-16,23.5277,2020,10,16
2020-10-29,119.8,377.4,114.75,101.7,111.0,101.25,93.0,70.84,2020,10,29,2020-10-29,2020-10-19,23.5907,2020,10,19
2020-10-30,120.35,378.9,114.85,102.95,111.25,102.0,93.45,72.85,2020,10,30,2020-10-30,2020-10-20,23.6117,2020,10,20
2020-11-02,121.3,381.0,114.85,103.0,112.5,102.0,93.3,73.9,2020,11,2,2020-11-02,2020-10-21,23.6327,2020,10,21
2020-11-03,121.75,383.0,115.5,105.0,113.7,104.0,96.5,76.5,2020,11,3,2020-11-03,2020-10-22,23.6538,2020,10,22
2020-11-04,122.75,386.5,115.5,105.5,114.75,105.1,97.6,77.9,2020,11,4,2020-11-04,2020-10-23,23.6749,2020,10,23
